,all,Standing,Elevator-up,Walking-forward,Sitting,Walking-downstairs,Sleeping,Elevator-down,Walking-upstairs,Jumping,Walking-right,Walking-left,Running
lr_all,0.775584924131,0.961145374449,0.949182574645,0.915633871757,0.984121390113,0.96845814978,0.999970631424,0.946382770436,0.971336270191,0.997767988253,0.934185022026,0.926245717083,0.996740088106
lr_ar_20,0.650876162506,0.936495349976,0.944395496818,0.865971610377,0.952501223691,0.934997552619,0.97904062653,0.943445912873,0.950171316691,0.990631424376,0.904424865394,0.906666666667,0.993010279001
lr_expert,0.668135095448,0.93671071953,0.940773372491,0.866196769457,0.978707782673,0.950739109153,1.0,0.939608418992,0.943857072932,0.992648066569,0.905335291238,0.894194811552,0.987498776309
lr_ssa_20,0.636749877631,0.923749388155,0.927332354381,0.885198237885,0.939725893294,0.931228585414,0.994459128732,0.941674008811,0.934635340186,0.996505139501,0.908056779246,0.896407244249,0.994527655409
rf_all,0.8306020558,0.970386686246,0.945707293196,0.948536465981,0.989818893784,0.97928536466,0.999745472345,0.946157611356,0.974547234459,0.997542829173,0.956417033774,0.95552618698,0.997533039648
rf_ar_20,0.703024963289,0.943651492903,0.946558981889,0.892785119922,0.96165442976,0.957709251101,0.98165442976,0.947635829662,0.948790993637,0.986314243759,0.921811062163,0.925687714146,0.991796377876
rf_expert,0.871228585414,0.975330396476,0.950425844347,0.96774351444,0.991825746451,0.986177190406,0.999902104748,0.949995105237,0.980822320117,0.998257464513,0.973010279001,0.972227116985,0.996740088106
rf_ssa_20,0.840146842878,0.966617719041,0.946431718062,0.962985805188,0.977229564366,0.98,0.995467449829,0.9470680372,0.977591776799,0.997865883505,0.96402349486,0.967998042095,0.997014194812
svm_all,0.750386686246,0.953969652472,0.946235927558,0.903798335781,0.983504650024,0.965991189427,0.999353891336,0.943954968184,0.965198237885,0.995154185022,0.927733724914,0.921664219285,0.994214390602
svm_ar_20,0.65460597161,0.942770435634,0.943054331865,0.871629955947,0.960665687714,0.930269211943,0.976661771904,0.94304454234,0.947234459129,0.989270680372,0.901419481155,0.906852667646,0.996338717572
svm_expert,0.797278511992,0.945022026432,0.934087126774,0.945717082721,0.978325991189,0.980323054332,0.999490944689,0.932657856094,0.97742535487,0.997826725404,0.956828193833,0.950513950073,0.996338717572
svm_ssa_20,0.822320117474,0.974596182085,0.940107684777,0.971375428292,0.985178658835,0.980460107685,0.999539892315,0.939393049437,0.983034752814,0.970004894763,0.974439549682,0.973783651493,0.95272638277
